,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,original,hashtags,source,Subjectivity,Polarity,analysis,label,Topic modelling LDA,Topic modeling lDA Tuning
10,10,Sipplin,,I've Nothing To do 🥴,False,2022-06-23 07:17:56,officialdmrc pleas clean asap httpstcodwdwyxpul,@OfficialDMRC  Please Clean this Asap!! https://t.co/dwdWYXp2ul,,Twitter for Android,0.7000000000000001,0.3666666666666667,positive,2,"0.043*""http"" + 0.033*""delhimetro"" + 0.032*""metro"" + 0.031*""line"" + 0.021*""train""","0.025*""miss"" + 0.023*""work"" + 0.023*""metro"" + 0.020*""station"" + 0.019*""gate"""
11,11,sanjeev rawat,,Man on mission~~to live the best life possible come what may®,False,2022-06-23 06:56:06,mykindworld officialdmrc dcpdelhimetro dmgbnagar myogioffic myogiadityanath pmoindia narendramodi thedogmoth journalistjp danth vibhachugh darpallavi joedelhi narvijayyadav poojaforanim smartsanctuari mam u think cruelti pls visit badarpur metro station platform,@My_Kind_World @OfficialDMRC @DCP_DelhiMetro @dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi @TheDogMother_ @journalist_jps @dan710ths @Vibhachugh1 @DarPallavi @joedelhi @NarvijayYadav @poojaforanimals @SmartSanctuary Mam if u thinks that's cruelty pls visit badarpur metro station platform.,,Twitter for Android,0.0,0.0,neutral,1,"0.064*""metro"" + 0.048*""delhi"" + 0.044*""station"" + 0.024*""polio"" + 0.023*""puls""","0.036*""metro"" + 0.034*""station"" + 0.031*""gate"" + 0.028*""close"" + 0.026*""card"""
12,12,Narendra.jha,"New Delhi, Delhi",,False,2022-06-23 06:45:58,officialdmrc pleas provid suffici salari staff along proper train cheat innoc travel happen botan garden metro station yesterday,@OfficialDMRC Please provide sufficient salary to your staff along with proper training so that they do not cheat the innocent travelers. This happened at botanical garden metro station yesterday ( 1/2).,,Twitter for iPhone,0.1,0.0,neutral,1,"0.081*""metro"" + 0.047*""station"" + 0.034*""time"" + 0.031*""train"" + 0.025*""coach""","0.034*""http"" + 0.034*""delhimetro"" + 0.026*""leav"" + 0.026*""zhvetjj"" + 0.025*""friend"""
13,13,Himanshu Ranjan,,,False,2022-06-23 06:32:01,officialdmrc pleas check transact detail httpstcotypzimqsu,"@OfficialDMRC Please check transaction details, https://t.co/tY2pZiMqsU",,Twitter Web App,0.0,0.0,neutral,1,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
14,14,Swati Singh,,,False,2022-06-23 06:28:08,rt officialdmrc wear mask time prevent spread virus much possibl stopthespread delhimetro httpstco,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…","['StoptheSpread', 'DelhiMetro']",Twitter for Android,0.2,0.2,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
15,15,Himanshu Ranjan,,,False,2022-06-23 06:05:42,officialdmrc smart card number th may r th may r httpstcojgfbeomcz,"@OfficialDMRC My Smart Card Number is 46171359

30th May Rs 300*4 and 100*7
29th May Rs 100*1 https://t.co/jgfbE2oMcZ",,Twitter Web App,0.6428571428571429,0.21428571428571427,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
16,16,Sagar,,,False,2022-06-23 05:51:49,rt joni kgahlot officialdmrc dtc contract staff parman ltgovdelhi arvindkejriw msisodia dtchq,RT @Jony49251436: @kgahlot @OfficialDMRC When will the DTC contract staff do parmanent you... @LtGovDelhi @ArvindKejriwal @msisodia @dtchq_…,,Twitter for Android,0.0,0.0,neutral,1,"0.106*""metro"" + 0.048*""gate"" + 0.047*""line"" + 0.040*""secur"" + 0.035*""updat""","0.031*""servic"" + 0.026*""line"" + 0.020*""dmrc"" + 0.019*""delay"" + 0.017*""yellow"""
17,17,SHIV PARAKASH DWIVED,,,False,2022-06-23 05:48:15,ltgovdelhi arvindkejriw pleas save delhi metro passeng fake mask challan corrupt enter even delhi metro also pleas save delhit mask challan ke nam pe polic ki loot band karo officialdmrc must take care custom amitshah httpstcojyginoj,"@LtGovDelhi @ArvindKejriwal 
Please save the Delhi metro passengers from this fake mask Challan. The corruption has entered even in DELHI METRO also. Please save #delhites 
Mask challan ke nam pe Police ki loot band karo @OfficialDMRC  you must take care your customers @AmitShah https://t.co/6jYg2In8oJ",,Twitter for Android,1.0,-0.5,negative,0,"0.106*""metro"" + 0.048*""gate"" + 0.047*""line"" + 0.040*""secur"" + 0.035*""updat""","0.031*""servic"" + 0.026*""line"" + 0.020*""dmrc"" + 0.019*""delay"" + 0.017*""yellow"""
18,18,Himanshu Ranjan,,,False,2022-06-23 05:34:39,officialdmrc recharg smart card amazon pay r date may credit r,"@OfficialDMRC I have recharge my smart card through Amazon pay Rs 2000 as on dated 29/30 May 2022 but credited Rs 1600, what I do..",,Twitter Web App,0.6428571428571429,0.21428571428571427,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
19,19,Devender Kumar Kashyap,"New Delhi, India",Kya likhu apne bare me... jo likhu vo Kam hi hai...,False,2022-06-23 05:34:07,rt officialdmrc wear mask time prevent spread virus much possibl stopthespread delhimetro httpstco,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…","['StoptheSpread', 'DelhiMetro']",Twitter for Android,0.2,0.2,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
20,20,Shilpa Gupta,"Jammu, Jammu And Kashmir","Former Theatre Director and Educator at Theatre.Former actor at Shriram centre for performing arts. story teller, workshop director at NDKM and animal lover.",False,2022-06-23 05:30:27,mykindworld officialdmrc dcpdelhimetro dmgbnagar myogioffic myogiadityanath pmoindia narendramodi thedogmoth journalistjp danth vibhachugh darpallavi joedelhi narvijayyadav poojaforanim smartsanctuari shame noida citi center metro author,@My_Kind_World @OfficialDMRC @DCP_DelhiMetro @dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi @TheDogMother_ @journalist_jps @dan710ths @Vibhachugh1 @DarPallavi @joedelhi @NarvijayYadav @poojaforanimals @SmartSanctuary Shame on noida city center metro authority.,,Twitter for iPhone,0.1,-0.1,negative,0,"0.064*""metro"" + 0.048*""delhi"" + 0.044*""station"" + 0.024*""polio"" + 0.023*""puls""","0.036*""metro"" + 0.034*""station"" + 0.031*""gate"" + 0.028*""close"" + 0.026*""card"""
21,21,Dinesh Bhatt,,,False,2022-06-23 05:23:03,officialdmrc uttam ngr east metro station dirti compair station,@OfficialDMRC Why uttam ngr east metro station is dirty compair to others stations.,,Twitter for Android,0.0,0.0,neutral,1,"0.071*""metro"" + 0.057*""station"" + 0.053*""http"" + 0.025*""action"" + 0.021*""take""","0.019*""aarnavg"" + 0.019*""line"" + 0.016*""metro"" + 0.016*""video"" + 0.016*""mask"""
22,22,Vipin Barolia,"New Delhi, India","Senior Business Analyst l LNG l Oil & Gas l Other interest : Politics, Advertising, F1, BB & Nutrition, Gaming, Aviation, History, World Affairs, Meme",False,2022-06-23 05:18:47,chitraahanthem officialdmrc proper ventil also matter reason wear mask crowd metro ac work,@ChitraAhanthem @OfficialDMRC Proper ventilation also matters. There is no reason to wear mask in a crowded metro when AC’s are not working.,,Twitter for iPhone,0.1,0.0,neutral,1,"0.106*""metro"" + 0.048*""gate"" + 0.047*""line"" + 0.040*""secur"" + 0.035*""updat""","0.031*""servic"" + 0.026*""line"" + 0.020*""dmrc"" + 0.019*""delay"" + 0.017*""yellow"""
23,23,ROHIT,,hello,False,2022-06-23 05:17:34,kgahlot officialdmrc dtc contract staff parman ltgovdelhi arvindkejriw msisodia dtchqdelhi,@kgahlot @OfficialDMRC When will the DTC contract staff do parmanent you... @LtGovDelhi @ArvindKejriwal @msisodia @dtchq_delhi,,Twitter for Android,0.0,0.0,neutral,1,"0.064*""metro"" + 0.048*""delhi"" + 0.044*""station"" + 0.024*""polio"" + 0.023*""puls""","0.036*""metro"" + 0.034*""station"" + 0.031*""gate"" + 0.028*""close"" + 0.026*""card"""
24,24,Ranbir Gulia,"Badli, Jhajjar (HR)",Ranbir Gulia,False,2022-06-23 05:13:59,rt kgahlot recur incid breakdown various line delhi metro month caus inconveni passeng,RT @kgahlot: There have been recurring incidences of breakdowns on various lines of Delhi Metro this month causing inconvenience to passeng…,,Twitter Web App,0.5,0.0,neutral,1,"0.106*""metro"" + 0.048*""gate"" + 0.047*""line"" + 0.040*""secur"" + 0.035*""updat""","0.031*""servic"" + 0.026*""line"" + 0.020*""dmrc"" + 0.019*""delay"" + 0.017*""yellow"""
25,25,Mukul Anand,Delhi,"Nation First, Interested in Defence, Strategic, Political ,Social, Economical , Educational and issues of vivid interests.RT's # endorsements.Views are Personal",False,2022-06-23 05:13:50,rt officialdmrc wear mask time prevent spread virus much possibl stopthespread delhimetro httpstco,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…","['StoptheSpread', 'DelhiMetro']",Twitter for Android,0.2,0.2,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
26,26,manish kumar meena,india,"I AM LIVING IN NEW DELHI WORKING IN AIIMS AS A LAB.TECHNOLOGIT IN BLOOD BANK FROM JULY 2009,WAS BORN IN ALIPUR,RAJASTHAN,DAUSA",False,2022-06-23 05:09:32,pleas start servic sinc sunday officialdmrc mejenta line emerg servic run hr morn shift start dmrc officialdmrc like aiim staff safdarjung hospit polic men delhi govt hospit staff travel mejenta line metro,"Please start services since 7AM on Sunday @OfficialDMRC Mejenta line all emergency services are running 24 hr morning shift start 8AM 
#Dmrc @OfficialDMRC like Aiims staff , safdarjung hospital ,police men ,Delhi govt hospital staff traveling through Mejenta line #metro",,Twitter for Android,0.0,0.0,neutral,1,"0.106*""metro"" + 0.048*""gate"" + 0.047*""line"" + 0.040*""secur"" + 0.035*""updat""","0.031*""servic"" + 0.026*""line"" + 0.020*""dmrc"" + 0.019*""delay"" + 0.017*""yellow"""
27,27,Vinit K.🇮🇳,Gotham,“I never thought I'd feel fear like that again.I thought I'd mastered that.”,False,2022-06-23 05:09:08,officialdmrc wrong voilet line metro metro move speed kmph sudden stop caus delay even ac workingwhat poor transit system,@OfficialDMRC what's wrong with voilet line metro? Metro is moving at a speed of 10kmph and sudden stops and causing delay and even ac is not working?what a poor transit system.,,Twitter Web App,0.6666666666666666,-0.3,negative,0,"0.057*""metro"" + 0.050*""line"" + 0.041*""delhi"" + 0.024*""peopl"" + 0.023*""hour""","0.021*""http"" + 0.021*""delhi"" + 0.019*""metro"" + 0.017*""inconveni"" + 0.016*""caus"""
28,28,Anuj Singh,,,False,2022-06-23 05:04:38,officialdmrc done wrong recharg nd may digit done noon cant topup month get refund till date plz ressolv problem httpstcokustqmqd,"@OfficialDMRC I had done wrong recharge on 22nd May 2022, in which 9 digits were done, so no-one can't topup . But after the month i did not get refund till the date now. Plz ressolve my problem https://t.co/K3UStqMq6d",,Twitter for Android,0.9,-0.5,negative,0,"0.043*""http"" + 0.033*""delhimetro"" + 0.032*""metro"" + 0.031*""line"" + 0.021*""train""","0.025*""miss"" + 0.023*""work"" + 0.023*""metro"" + 0.020*""station"" + 0.019*""gate"""
29,29,Balvinder singh sandhu,"New Delhi, India","cricket lover
fb @Balvinder singh sandhu
Inst @balvinder3686",False,2022-06-23 05:00:46,ganjoovarun officialdmrc also blue line,@Ganjoo_Varun @OfficialDMRC also in blue line,,Twitter for Android,0.1,0.0,neutral,1,"0.057*""metro"" + 0.050*""line"" + 0.041*""delhi"" + 0.024*""peopl"" + 0.023*""hour""","0.021*""http"" + 0.021*""delhi"" + 0.019*""metro"" + 0.017*""inconveni"" + 0.016*""caus"""
30,30,shreshtha singh,,"Just a science student, still searching answers for various science questions.",False,2022-06-23 04:59:33,rt officialdmrc wear mask time prevent spread virus much possibl stopthespread delhimetro httpstco,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…","['StoptheSpread', 'DelhiMetro']",Twitter for Android,0.2,0.2,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
31,31,Akansha Vikal,"New Delhi, India","IGDTU🎓
ex-ipu student
ex- kvian🎒
opinions expressed in terms of agreement♥️",False,2022-06-23 04:58:34,rt officialdmrc wear mask time prevent spread virus much possibl stopthespread delhimetro httpstco,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…","['StoptheSpread', 'DelhiMetro']",Twitter for iPad,0.2,0.2,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
32,32,Mohit,,Jai shree ram 🙏❤️,False,2022-06-23 04:57:46,officialdmrc thank sir pranaam,@OfficialDMRC Thanks sir 😊🙏 pranaam,,Twitter for Android,0.0,0.0,neutral,1,"0.071*""metro"" + 0.057*""station"" + 0.053*""http"" + 0.025*""action"" + 0.021*""take""","0.019*""aarnavg"" + 0.019*""line"" + 0.016*""metro"" + 0.016*""video"" + 0.016*""mask"""
33,33,Riyanshu Jain,"New Delhi, India","I came to this place having a price to play...🤘🤘🤘
Geo lover😍
Proud DU student!!!",False,2022-06-23 04:50:06,rt officialdmrc wear mask time prevent spread virus much possibl stopthespread delhimetro httpstco,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…","['StoptheSpread', 'DelhiMetro']",Twitter for Android,0.2,0.2,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
34,34,Rahul Kumar,,"Be happy and make others also happy|
views are personal|",False,2022-06-23 04:47:21,officialdmrc coach kind sound continu come metro move pleas look immedi,@OfficialDMRC Coach No M3A08 some kind of sound is continuously coming while metro is moving please look immediately,,Twitter for Android,0.65,0.5,positive,2,"0.081*""metro"" + 0.047*""station"" + 0.034*""time"" + 0.031*""train"" + 0.025*""coach""","0.034*""http"" + 0.034*""delhimetro"" + 0.026*""leav"" + 0.026*""zhvetjj"" + 0.025*""friend"""
35,35,Varun Ganjoo,"Jammu, Jammu & Kashmir, India","Casual Photography 📷l Gamer l
Tech Enthusiast l Keep The Quest On And On💙",False,2022-06-23 04:43:26,chitraahanthem officialdmrc yes happen frequent,@ChitraAhanthem @OfficialDMRC Yes That Happens Frequently!,,Twitter for Android,0.3,0.1,positive,2,"0.043*""http"" + 0.033*""delhimetro"" + 0.032*""metro"" + 0.031*""line"" + 0.021*""train""","0.025*""miss"" + 0.023*""work"" + 0.023*""metro"" + 0.020*""station"" + 0.019*""gate"""
36,36,Varun Ganjoo,"Jammu, Jammu & Kashmir, India","Casual Photography 📷l Gamer l
Tech Enthusiast l Keep The Quest On And On💙",False,2022-06-23 04:43:07,officialdmrc make manadatori peopl wear mask violet line,"@OfficialDMRC Make It Manadatory, People Are Not Wearing Masks In Violet Line",,Twitter for Android,0.0,0.0,neutral,1,"0.057*""metro"" + 0.050*""line"" + 0.041*""delhi"" + 0.024*""peopl"" + 0.023*""hour""","0.021*""http"" + 0.021*""delhi"" + 0.019*""metro"" + 0.017*""inconveni"" + 0.016*""caus"""
37,37,Arun Marwah,,Proud Hindu.Kashmir Migrant. Stock market investor. Narender Modi and BJP supporter. Only Modi ji supporters to follow me please. Jai Shree Rama!,False,2022-06-23 04:30:19,rt officialdmrc wear mask time prevent spread virus much possibl stopthespread delhimetro httpstco,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…","['StoptheSpread', 'DelhiMetro']",Twitter Web App,0.2,0.2,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
38,38,Vinay Sharma,"New Delhi, India",simple living,False,2022-06-23 04:27:39,ronakrathi officialdmrc bad manner take anybodi pic,@RonakRathi23 @OfficialDMRC Bad manners to take anybody’s pic,,Twitter for iPhone,0.6666666666666666,-0.6999999999999998,negative,0,"0.107*""gate"" + 0.075*""station"" + 0.070*""metro"" + 0.051*""close"" + 0.046*""secur""","0.023*""line"" + 0.019*""vihar"" + 0.019*""kindli"" + 0.018*""guy"" + 0.017*""long"""
39,39,apoorv kannoujia,"New Delhi, India",Take time to improve. But don't waste time to prove.,False,2022-06-23 04:23:00,officialdmrc public metro wear mask even wore wore proper,"@OfficialDMRC Most of the public in metro do not wearing mask, even if they wore it, they do not wore it properly.",,Twitter for Android,0.08333333333333334,0.0,neutral,1,"0.106*""metro"" + 0.048*""gate"" + 0.047*""line"" + 0.040*""secur"" + 0.035*""updat""","0.031*""servic"" + 0.026*""line"" + 0.020*""dmrc"" + 0.019*""delay"" + 0.017*""yellow"""
40,40,Chitra Ahanthem,"Imphal, Manipur/Delhi","On Manipuri Socio Culture, Politics and Public Health. For everything books, find me on Instagram https://t.co/D4iGuunLtk",True,2022-06-23 04:22:26,officialdmrc unfortun almost pc commut take mask insid coach would help staff surpris check insid coach time time,@OfficialDMRC Unfortunately almost 80pc of commuters take off masks inside the coaches. Would help if you had staff doing surprise checks inside coaches time to time,,Twitter for Android,0.0,0.0,neutral,1,"0.081*""metro"" + 0.047*""station"" + 0.034*""time"" + 0.031*""train"" + 0.025*""coach""","0.034*""http"" + 0.034*""delhimetro"" + 0.026*""leav"" + 0.026*""zhvetjj"" + 0.025*""friend"""
41,41,Ronak Rathi,"Old Faridabad, Faridabad",Digital Producer at Samachar Plus 24x7 ✍️,False,2022-06-23 04:22:03,officialdmrc wear mask nicee joke officialdmrc httpstcolefpgusl,@OfficialDMRC Wear Mask? Niceee Jokee @OfficialDMRC 👏 https://t.co/leFpg6USL4,,Twitter for Android,0.0,0.0,neutral,1,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
42,42,JATIN JAYANT,"गाज़ियाबाद, भारत",criticise ....i don't mind,False,2022-06-23 04:19:30,officialdmrc start check metro coach ye public advisori se kuchh nahi hoga,@OfficialDMRC Start checking in the metro coaches. Ye public advisory se kuchh nahi hoga,,Twitter for Android,0.06666666666666667,0.0,neutral,1,"0.081*""metro"" + 0.047*""station"" + 0.034*""time"" + 0.031*""train"" + 0.025*""coach""","0.034*""http"" + 0.034*""delhimetro"" + 0.026*""leav"" + 0.026*""zhvetjj"" + 0.025*""friend"""
