,original
308,@OfficialDMRC is Delhi Police has any right or has any circular to fine a person without mask inside Metro Station or premise... Plz let me know
313,@OfficialDMRC pls provide current timing of Metro (First and Last) from Inderlok/Kirti Nagar to Brigadier Hoshiyar Singh.
314,"Is any displinary action is taken against SC Mr. Bipin for mis-behaving and not changing un-readable metro card rather band one edge of card &amp; charging Rs 150 without any clarification of charges 
@OfficialDMRC https://t.co/S9OE2OVpwZ"
316,"@OfficialDMRC Exactly right, a cisf and a station controller came but they both are in very speedy check however in this coach 3-4 person without mask but they out from coach and no do anything."
322,RT @YashVashisht07: @OfficialDMRC First I think your housekeeping staf is on holiday but is been 1 month now this is grey line from 1 moth…
325,"@OfficialDMRC Sir, kindly update me..."
327,"@Chulbulpanda420 @OfficialDMRC @DelhiPolice Exactly, they don't bother to do any exercises to stop such snatching"
336,RT @OfficialDMRC: Normal services have resumed.
337,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
339,RT @OfficialDMRC: Normal services have resumed.
341,@AvinPrabhakar @OfficialDMRC @DelhiPolice My phone was also snatched by two bikers near Akshardham but No communication received till now!!
348,@nehatyagi000 @OfficialDMRC 😆😂 right
351,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
352,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
357,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
362,RT @Patriot_Delhi: The popularity of #DelhiMetro rests on its ability to help commuters travel in the comfort of AC. But some do break laws…
364,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
365,RT @OfficialDMRC: Normal services have resumed.
366,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
367,RT @OfficialDMRC: Normal services have resumed.
368,RT @OfficialDMRC: Normal services have resumed.
372,@OfficialDMRC Pls update till when normal services will be resumed on yellow line? @
375,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
385,"UER 2 road from rohini - bawana is a chaos for 2 hrs. Of traveling @NHAI_Official

If any project of @OfficialDMRC is also planned on the route. Kindly do it along to save another 2 yrs. Of chaos. 

@ArvindKejriwal @LtGovDelhi please look into this Our traveling time matters."
387,"@GoluKum49259791 @OfficialDMRC @TransportDelhi I always offer my seat to anyone in need regardless of age, gender... social status and health conditions."
388,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
397,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
399,RT @mukulfaiz: This is first coach in @OfficialDMRC reserved for females. @CISFHQrs has often  thrashed men who have entered the first coac…
400,@OfficialDMRC Why d AVM is not working? I have recharged my metro card 2 days back through phonepay n step in d metro station for top-up my card d server was down then I asked to d counter staf he told me it isn't working for long time neither I get my refund nor I can top up.
404,@seriqiqi Best metro itw @OfficialDMRC 🤟
407,"@OfficialDMRC Your Metro officials behaving nothing less than goons to collect fine for mask, unfortunately ur mask warnings r no where to be found,&amp; it's not our fault. Funny thing is the Delhi policeman who ws there standing unmasked has harrased me thinking I took his photo. https://t.co/W2vK3bNsQW"
408,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
412,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
415,"RT @kgahlot: Happy to bear witness to the start of a great partnership between @dtchq_delhi &amp; @OfficialDMRC, 2 of Delhi's transport lifelin…"
418,@aarnavg17 @DeepakB33263630 @OfficialDMRC @AmirSai43048804 This scenario is quite common on Yellow Line actually. But I'm not sure whether he actually got off at Qutub Minar or not.
420,RT @Sai6969696969: @OfficialDMRC Kindly open Gate No. 2 at Hauz Khas Metro Station. It causes delay to cross the road and enter from anothe…
421,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
422,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
423,Kindly look into it.@OfficialDMRC https://t.co/2ckvGNFYpD
425,"@OfficialDMRC Kindly open Gate No. 2 at Hauz Khas Metro Station. It causes delay to cross the road and enter from another gate just to walk back again. 
Thank you"
426,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
430,"Delhi High Court Grants Time To DMRC For Payment Of Outstanding Amount Of Arbitral Award To DAMEPL Till August 5 @nupur_0111,@OfficialDMRC https://t.co/78GM5CTaUq"
431,"Delhi High Court Grants Time To DMRC For Payment Of Outstanding Amount Of Arbitral Award To DAMEPL Till August 5 @nupur_0111,@OfficialDMRC https://t.co/WblmI1aZ6k"
432,"Delhi High Court Grants Time To DMRC For Payment Of Outstanding Amount Of Arbitral Award To DAMEPL Till August 5 @nupur_0111,@OfficialDMRC https://t.co/9yYDWGxIzX"
434,"@OfficialDMRC @MoHUA_India @Secretary_MoHUA @DCP_DelhiMetro @CMODelhi 
How a daily commuters facing harrasment by Sr. SC Mr. Bipin Kumar who is overall incharge of dwarka sector 21 illegally band or damaged customer metro card while he is requested for un-readable card change. https://t.co/JzQfd9FgLk"
439,"@OfficialDMRC some of the commuters are not wearing masks , request to conduct frequent check to avoid COVID-19 spread"
444,@OfficialDMRC Request DMRC officials to take strict against Sr. Station controller Mr. Bipin Kumar at dwarka sector 21 station who illegally bend my un-readable metro card when contacted c.c to replace &amp; asking for Rs 150/- without any clarification yesterday at 6:40 pm . https://t.co/HVD9afeOvT
445,RT @makeDelh: Kindly remove these barricades under Dwarka mor station .. so that E-Rickshaw can stand here instead of main Road… due to tha…
446,"@OfficialDMRC @DS_790 We want to travel right but Yellow line in morning peak hours (going to huda) and evening peak hours (starting from huda) is having huge rush so can't follow guidelines.

Have some solution first. https://t.co/69O4csMxwu"
450,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
452,"RT @OfficialDMRC: @AmirSai43048804 Hi. It was attended to and cleaned at Vishwavidyalaya Metro Station. Also, train was sanitized at Huda C…"
453,@OfficialDMRC This is normal in Delhi Metro? https://t.co/v5utG8n9DH
455,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
460,RT @mukulfaiz: This is first coach in @OfficialDMRC reserved for females. @CISFHQrs has often  thrashed men who have entered the first coac…
462,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
463,"While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around 11 PM today, FIR has been lodged. Will not able to connect till new phone comes.
@DelhiPolice humble request pls do something to stop such snatching."
472,@DrishtiSashakt @OfficialDMRC @ArvindKejriwal @DCP_DelhiMetro @smritiirani @AmitShah @HMOIndia @unwomenindia @UN @UNinIndia @PMOIndia @DeshKeMentor It was a really good session related to issues that are not considered generally . Sanitation facilities and security are must for women at every metro station.
473,RT @dipeshkapoor391: @OfficialDMRC I live in mohan garden and daily goes home by e rickshaw from dwarka mor metro but since one month the r…
475,"@OfficialDMRC Seems u think I am lying. Pathetic response. Hell with your service.. no one wear mask inside coaches. Sirf timeline pe likhne se kuchh nahi hota better you improve your services....
Jandu Delhi metro.... Just like local trains running from One station to other"
486,RT @makeDelh: Kindly remove these barricades under Dwarka mor station .. so that E-Rickshaw can stand here instead of main Road… due to tha…
490,"A huge crowd at Maujpur at this point of time and this is regular practice of @OfficialDMRC 
This should be investigated as COVID cases are increasing now and these crowd will create problem"
493,@OfficialDMRC how to check smart card Balance ?
494,@OfficialDMRC  please take strict action as today also face same issue. Bus photo attached. https://t.co/Bq4zzdzZm7
497,@OfficialDMRC How a DMRC Sr. SC/TO Mr.  Bipin Kumar mis-handled a case of unreadable smart card at sector 21 dwarka. When asked c.c executive of charging Rs 150 please show the rule book where it is mentioned instead showing they bend the edge of my card themselves to harras me. https://t.co/rf2HL95PcD
499,@DCP_DelhiMetro @OfficialDMRC @CPDelhi @DCPCentralDelhi After taking action kindly provide photos of action with timestamp like which i have provided
501,"price on the bottle is 30 but shopkeeper charge 35. Who is responsible for this @OfficialDMRC as this shop is running under your premises at INA metro station?? Shop charges 5 rupees extra on printing prize on every item.
What action will @OfficialDMRC takes ?? https://t.co/a8ROf8KWtd"
507,"@OfficialDMRC coach M3C31

AC on kar dijiye. Too much suffocating here...on the way to Vaishali"
512,@OfficialDMRC Thanks for prompt action..
515,"@RinkuSaini007 @OfficialDMRC @TransportDelhi Right, everyday I see gender discrimination."
